words_range,words_count
"(0, 5]",692
"(5, 10]",644
"(10, 15]",472
"(15, 20]",347
"(20, 25]",220
"(25, 30]",207
"(30, 35]",169
"(35, 40]",168
"(40, 45]",135
"(45, 50]",127
"(50, 55]",114
"(55, 60]",113
"(60, 65]",73
"(65, 70]",87
"(70, 75]",71
"(75, 80]",67
"(80, 85]",48
"(85, 90]",61
"(90, 95]",54
"(95, 100]",60
"(100, 105]",57
"(105, 110]",39
"(110, 115]",32
"(115, 120]",34
"(120, 125]",38
"(125, 130]",40
"(130, 135]",44
"(135, 140]",30
"(140, 145]",31
"(145, 150]",29
"(150, 155]",29
"(155, 160]",18
"(160, 165]",20
"(165, 170]",23
"(170, 175]",23
"(175, 180]",17
"(180, 185]",15
"(185, 190]",19
"(190, 195]",15
"(195, 200]",12
"(200, 205]",12
"(205, 210]",22
"(210, 215]",19
"(215, 220]",19
"(220, 225]",11
"(225, 230]",17
"(230, 235]",10
"(235, 240]",9
"(240, 245]",19
"(245, 250]",6
"(250, 255]",8
"(255, 260]",11
"(260, 265]",14
"(265, 270]",9
"(270, 275]",18
"(275, 280]",7
"(280, 285]",12
"(285, 290]",8
"(290, 295]",7
"(295, 300]",9
"(300, 305]",8
"(305, 310]",11
"(310, 315]",9
"(315, 320]",8
"(320, 325]",5
"(325, 330]",10
"(330, 335]",11
"(335, 340]",5
"(340, 345]",7
"(345, 350]",10
"(350, 355]",9
"(355, 360]",5
"(360, 365]",5
"(365, 370]",2
"(370, 375]",7
"(375, 380]",3
"(380, 385]",9
"(385, 390]",9
"(390, 395]",9
"(395, 400]",8
"(400, 405]", 4
"(405, 410]", 3
"(410, 415]", 5
"(415, 420]", 7
"(420, 425]", 4
"(425, 430]", 4
"(430, 435]", 2
"(435, 440]", 4
"(440, 445]", 7
"(445, 450]", 2
"(450, 455]", 4
"(455, 460]", 5
"(460, 465]", 2
"(465, 470]", 4
"(470, 475]", 3
"(475, 480]", 4
"(480, 485]", 4
"(485, 490]", 7
"(490, 495]", 4
"(495, 500]", 3
"(500, 1000]", 174
"(1000, 5000]", 151
"(5000, 10000]", 18
"(10000, 50000]", 11
"(50000, 100000]", 3
